diet,region,followers
Low Fat,Asia-Pacific,37%
Low Fat,Europe,20%
Low Fat,Africa/Middle East,36%
Low Fat,Latin America,39%
Low Fat,North America,19%
Sugar Conscious,Asia-Pacific,27%
Sugar Conscious,Europe,22%
Sugar Conscious,Africa/Middle East,28%
Sugar Conscious,Latin America,32%
Sugar Conscious,North America,22%
Low Sodium,Asia-Pacific,22%
Low Sodium,Europe,8%
Low Sodium,Africa/Middle East,13%
Low Sodium,Latin America,24%
Low Sodium,North America,21%
Low Carbohydrate,Asia-Pacific,23%
Low Carbohydrate,Europe,11%
Low Carbohydrate,Africa/Middle East,17%
Low Carbohydrate,Latin America,20%
Low Carbohydrate,North America,15%
Vegetarian,Asia-Pacific,19%
Vegetarian,Europe,5%
Vegetarian,Africa/Middle East,16%
Vegetarian,Latin America,8%
Vegetarian,North America,6%
Flexitarian,Asia-Pacific,16%
Flexitarian,Europe,5%
Flexitarian,Africa/Middle East,16%
Flexitarian,Latin America,10%
Flexitarian,North America,6%
Halal,Asia-Pacific,12%
Halal,Europe,4%
Halal,Africa/Middle East,48%
Halal,Latin America,1%
Halal,North America,3%
Wheat or Gluten Free,Asia-Pacific,10%
Wheat or Gluten Free,Europe,4%
Wheat or Gluten Free,Africa/Middle East,8%
Wheat or Gluten Free,Latin America,10%
Wheat or Gluten Free,North America,8%
Lactose/Dairy Free,Asia-Pacific,10%
Lactose/Dairy Free,Europe,5%
Lactose/Dairy Free,Africa/Middle East,8%
Lactose/Dairy Free,Latin America,14%
Lactose/Dairy Free,North America,7%
Vegan,Asia-Pacific,9%
Vegan,Europe,2%
Vegan,Africa/Middle East,6%
Vegan,Latin America,4%
Vegan,North America,2%
Kosher,Asia-Pacific,7%
Kosher,Europe,1%
Kosher,Africa/Middle East,4%
Kosher,Latin America,2%
Kosher,North America,4%
